Waveno.;Adjusted
678,5;1,50E-02
679,5;9,40E-03
680,5;7,55E-03
681,5;1,79E-02
682,5;4,48E-03
683,5;1,75E-02
684,5;2,03E-02
685,5;6,54E-03
686,5;3,41E-02
687,5;2,02E-02
688,5;2,76E-02
689,5;5,18E-02
690,5;1,63E-02
691,5;7,10E-02
692,5;7,43E-02
693,5;3,85E-02
694,5;1,38E-01
695,5;8,09E-02
696,5;1,06E-01
697,5;1,95E-01
698,5;8,84E-02
699,5;2,70E-01
700,5;2,04E-01
701,5;2,00E-01
702,5;3,36E-01
703,5;2,73E-01
704,5;3,36E-01
705,5;3,71E-01
706,5;4,81E-01
707,5;5,58E-01
708,5;4,43E-01
709,5;5,38E-01
710,5;6,46E-01
711,5;7,02E-01
712,5;8,12E-01
713,5;5,34E-01
714,5;1,02E+00
715,5;9,23E-01
716,5;7,71E-01
717,5;1,08E+00
718,5;4,07E-01
719,5;1,54E-01
720,5;1,59E-02
721,5;6,05E-01
722,5;1,14E+00
723,5;1,14E+00
724,5;1,56E+00
725,5;1,07E+00
726,5;1,43E+00
727,5;1,32E+00
728,5;9,10E-01
729,5;1,21E+00
730,5;8,83E-01
731,5;9,44E-01
732,5;1,55E+00
733,5;1,04E+00
734,5;1,12E+00
735,5;1,64E+00
736,5;1,03E+00
737,5;1,17E+00
738,5;1,68E+00
739,5;1,10E+00
740,5;1,03E+00
741,5;7,79E-01
742,5;1,25E+00
743,5;1,50E+00
744,5;1,66E+00
745,5;1,52E+00
746,5;1,77E+00
747,5;2,24E+00
748,5;1,61E+00
749,5;1,93E+00
750,5;2,44E+00
751,5;1,87E+00
752,5;1,92E+00
753,5;2,32E+00
754,5;1,70E+00
755,5;2,28E+00
756,5;2,69E+00
757,5;2,29E+00
758,5;2,68E+00
759,5;2,99E+00
760,5;2,57E+00
761,5;2,75E+00
762,5;3,18E+00
763,5;2,84E+00
764,5;2,93E+00
765,5;3,25E+00
766,5;2,97E+00
767,5;2,94E+00
768,5;2,88E+00
769,5;2,85E+00
770,5;2,87E+00
771,5;3,11E+00
772,5;3,18E+00
773,5;3,27E+00
774,5;3,14E+00
775,5;2,60E+00
776,5;2,81E+00
777,5;2,80E+00
778,5;3,14E+00
779,5;2,85E+00
780,5;3,23E+00
781,5;3,30E+00
782,5;3,23E+00
783,5;3,09E+00
784,5;2,22E+00
785,5;3,11E+00
786,5;3,27E+00
787,5;3,32E+00
788,5;3,32E+00
789,5;3,32E+00
790,5;3,30E+00
791,5;2,32E+00
792,5;2,76E+00
793,5;2,77E+00
794,5;3,04E+00
795,5;2,40E+00
796,5;2,73E+00
797,5;2,80E+00
798,5;2,02E+00
799,5;2,91E+00
800,5;3,21E+00
801,5;3,21E+00
802,5;3,10E+00
803,5;2,50E+00
804,5;3,19E+00
805,5;3,31E+00
806,5;3,16E+00
807,5;3,19E+00
808,5;2,77E+00
809,5;3,26E+00
810,5;3,31E+00
811,5;3,37E+00
812,5;3,29E+00
813,5;2,99E+00
814,5;2,83E+00
815,5;3,28E+00
816,5;3,37E+00
817,5;3,35E+00
818,5;3,35E+00
819,5;3,40E+00
820,5;3,36E+00
821,5;3,37E+00
822,5;3,38E+00
823,5;3,37E+00
824,5;3,33E+00
825,5;3,07E+00
826,5;3,34E+00
827,5;2,80E+00
828,5;3,28E+00
829,5;3,37E+00
830,5;3,38E+00
831,5;3,38E+00
832,5;3,38E+00
833,5;3,38E+00
834,5;3,38E+00
835,5;3,26E+00
836,5;3,37E+00
837,5;3,37E+00
838,5;3,35E+00
839,5;2,99E+00
840,5;3,09E+00
841,5;3,20E+00
842,5;3,32E+00
843,5;3,36E+00
844,5;3,36E+00
845,5;3,35E+00
846,5;3,35E+00
847,5;3,35E+00
848,5;3,32E+00
849,5;2,78E+00
850,5;3,28E+00
851,5;3,25E+00
852,5;2,35E+00
853,5;3,06E+00
854,5;2,72E+00
855,5;3,27E+00
856,5;3,32E+00
857,5;3,32E+00
858,5;3,25E+00
859,5;3,28E+00
860,5;3,32E+00
861,5;3,32E+00
862,5;3,32E+00
863,5;3,31E+00
864,5;3,18E+00
865,5;2,95E+00
866,5;3,29E+00
867,5;3,30E+00
868,5;3,30E+00
869,5;3,29E+00
870,5;3,23E+00
871,5;2,79E+00
872,5;3,27E+00
873,5;3,29E+00
874,5;3,28E+00
875,5;3,27E+00
876,5;3,27E+00
877,5;3,26E+00
878,5;2,88E+00
879,5;3,25E+00
880,5;3,23E+00
881,5;3,13E+00
882,5;3,24E+00
883,5;2,90E+00
884,5;3,19E+00
885,5;3,24E+00
886,5;3,16E+00
887,5;2,71E+00
888,5;3,03E+00
889,5;3,21E+00
890,5;3,14E+00
891,5;3,11E+00
892,5;3,22E+00
893,5;3,22E+00
894,5;3,22E+00
895,5;3,21E+00
896,5;3,19E+00
897,5;3,15E+00
898,5;3,20E+00
899,5;3,20E+00
900,5;3,20E+00
901,5;3,20E+00
902,5;3,18E+00
903,5;3,19E+00
904,5;3,18E+00
905,5;3,15E+00
906,5;3,00E+00
907,5;3,15E+00
908,5;2,78E+00
909,5;2,92E+00
910,5;3,08E+00
911,5;3,15E+00
912,5;3,15E+00
913,5;3,09E+00
914,5;3,09E+00
915,5;3,14E+00
916,5;3,13E+00
917,5;3,13E+00
918,5;3,00E+00
919,5;3,12E+00
920,5;3,10E+00
921,5;2,96E+00
922,5;2,77E+00
923,5;3,10E+00
924,5;2,91E+00
925,5;2,89E+00
926,5;3,09E+00
927,5;3,08E+00
928,5;3,04E+00
929,5;3,05E+00
930,5;3,07E+00
931,5;3,05E+00
932,5;3,03E+00
933,5;3,06E+00
934,5;3,01E+00
935,5;3,06E+00
936,5;2,98E+00
937,5;3,05E+00
938,5;2,95E+00
939,5;3,06E+00
940,5;2,90E+00
941,5;2,99E+00
942,5;2,91E+00
943,5;3,04E+00
944,5;2,82E+00
945,5;2,94E+00
946,5;2,93E+00
947,5;2,83E+00
948,5;2,55E+00
949,5;2,85E+00
950,5;3,01E+00
951,5;2,87E+00
952,5;2,88E+00
953,5;2,82E+00
954,5;2,84E+00
955,5;2,73E+00
956,5;2,90E+00
957,5;2,92E+00
958,5;2,99E+00
959,5;2,84E+00
960,5;2,97E+00
961,5;2,94E+00
962,5;2,98E+00
963,5;2,92E+00
964,5;2,88E+00
965,5;2,91E+00
966,5;2,75E+00
967,5;2,81E+00
968,5;2,93E+00
969,5;2,80E+00
970,5;2,75E+00
971,5;2,61E+00
972,5;2,87E+00
973,5;2,56E+00
974,5;2,69E+00
975,5;2,66E+00
976,5;2,76E+00
977,5;2,62E+00
978,5;2,75E+00
979,5;2,77E+00
980,5;2,78E+00
981,5;2,79E+00
982,5;2,77E+00
983,5;2,76E+00
984,5;2,71E+00
985,5;2,77E+00
986,5;2,75E+00
987,5;2,73E+00
988,5;2,73E+00
989,5;2,71E+00
990,5;2,67E+00
991,5;2,66E+00
992,5;2,66E+00
993,5;2,65E+00
994,5;2,58E+00
995,5;2,56E+00
996,5;2,57E+00
997,5;2,50E+00
998,5;2,36E+00
999,5;2,38E+00
1000,5;2,27E+00
1001,5;2,37E+00
1002,5;2,29E+00
1003,5;2,18E+00
1004,5;2,13E+00
1005,5;2,18E+00
1006,5;2,14E+00
1007,5;1,99E+00
1008,5;2,04E+00
1009,5;1,88E+00
1010,5;1,69E+00
1011,5;1,83E+00
1012,5;1,84E+00
1013,5;1,74E+00
1014,5;1,44E+00
1015,5;1,64E+00
1016,5;1,59E+00
1017,5;1,45E+00
1018,5;1,48E+00
1019,5;1,51E+00
1020,5;1,40E+00
1021,5;1,42E+00
1022,5;1,38E+00
1023,5;1,39E+00
1024,5;1,30E+00
1025,5;1,32E+00
1026,5;1,29E+00
1027,5;1,27E+00
1028,5;1,13E+00
1029,5;1,13E+00
1030,5;1,23E+00
1031,5;1,23E+00
1032,5;1,18E+00
1033,5;1,25E+00
1034,5;1,22E+00
1035,5;1,24E+00
1036,5;1,18E+00
1037,5;1,19E+00
1038,5;1,17E+00
1039,5;1,05E+00
1040,5;1,10E+00
1041,5;1,14E+00
1042,5;1,67E+00
1043,5;1,70E+00
1044,5;1,64E+00
1045,5;1,50E+00
1046,5;1,24E+00
1047,5;1,24E+00
1048,5;1,12E+00
1049,5;1,02E+00
1050,5;8,74E-01
1051,5;1,01E+00
1052,5;8,89E-01
1053,5;9,07E-01
1054,5;9,72E-01
1055,5;9,18E-01
1056,5;1,04E+00
1057,5;1,02E+00
1058,5;1,10E+00
1059,5;1,20E+00
1060,5;1,17E+00
1061,5;1,37E+00
1062,5;1,39E+00
1063,5;1,61E+00
1064,5;1,71E+00
1065,5;1,72E+00
1066,5;1,44E+00
1067,5;1,96E+00
1068,5;2,05E+00
1069,5;2,12E+00
1070,5;2,10E+00
1071,5;2,15E+00
1072,5;2,18E+00
1073,5;2,15E+00
1074,5;1,78E+00
1075,5;2,28E+00
1076,5;2,26E+00
1077,5;2,23E+00
1078,5;2,24E+00
1079,5;2,25E+00
1080,5;2,36E+00
1081,5;2,18E+00
1082,5;2,27E+00
1083,5;2,27E+00
1084,5;2,28E+00
1085,5;2,15E+00
1086,5;2,31E+00
1087,5;2,28E+00
1088,5;2,33E+00
1089,5;2,33E+00
1090,5;2,24E+00
1091,5;1,91E+00
1092,5;2,33E+00
1093,5;2,35E+00
1094,5;2,34E+00
1095,5;2,37E+00
1096,5;2,36E+00
1097,5;2,37E+00
1098,5;2,33E+00
1099,5;1,90E+00
1100,5;2,24E+00
1101,5;1,80E+00
1102,5;2,28E+00
1103,5;2,33E+00
1104,5;2,32E+00
1105,5;2,29E+00
1106,5;1,66E+00
1107,5;2,14E+00
1108,5;2,27E+00
1109,5;2,30E+00
1110,5;2,20E+00
1111,5;1,58E+00
1112,5;2,21E+00
1113,5;2,27E+00
1114,5;2,26E+00
1115,5;2,26E+00
1116,5;2,25E+00
1117,5;2,14E+00
1118,5;2,22E+00
1119,5;2,21E+00
1120,5;1,82E+00
1121,5;1,56E+00
1122,5;2,16E+00
1123,5;2,18E+00
1124,5;2,20E+00
1125,5;2,20E+00
1126,5;2,21E+00
1127,5;2,20E+00
1128,5;2,22E+00
1129,5;2,17E+00
1130,5;2,18E+00
1131,5;2,16E+00
1132,5;2,15E+00
1133,5;2,09E+00
1134,5;1,98E+00
1135,5;1,12E+00
1136,5;1,69E+00
1137,5;1,46E+00
1138,5;2,05E+00
1139,5;2,10E+00
1140,5;2,10E+00
1141,5;2,04E+00
1142,5;2,09E+00
1143,5;2,07E+00
1144,5;2,10E+00
1145,5;2,08E+00
1146,5;2,02E+00
1147,5;2,01E+00
1148,5;1,96E+00
1149,5;1,40E+00
1150,5;1,87E+00
1151,5;1,56E+00
1152,5;1,49E+00
1153,5;1,93E+00
1154,5;1,87E+00
